crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
log@0.4.28	X									X		
md-5@0.10.6	X									X		
memchr@2.7.6										X		X
mio@1.1.0										X		
num@0.4.3	X									X		
num-bigint@0.4.6	X									X		
num-complex@0.4.6	X									X		
num-integer@0.1.46	X									X		
num-iter@0.1.45	X									X		
num-rational@0.4.2	X									X		
num-traits@0.2.19	X									X		
once_cell@1.21.3	X									X		
opendal@0.55.0	X											
ordered-float@2.10.1										X		
ordered-multimap@0.7.3										X		
parquet@54.3.1	X											
parquet_opendal@0.7.0	X											
paste@1.0.15	X									X		
percent-encoding@2.3.2	X									X		
pin-project-lite@0.2.16	X									X		
pin-utils@0.1.0	X									X		
portable-atomic@1.11.1	X									X		
portable-atomic-util@0.2.4	X									X		
potential_utf@0.1.4											X	
proc-macro2@1.0.103	X									X		
quick-xml@0.38.4										X		
quote@1.0.42	X									X		
r-efi@5.3.0	X								X	X		
reqsign-aws-v4@2.0.1	X											
reqsign-core@2.0.1	X											
reqsign-file-read-tokio@2.0.1	X											
reqsign-http-send-reqwest@2.0.1	X											
reqwest@0.12.24	X									X		
ring@0.17.14	X							X				
rust-ini@0.21.3										X		
rustc_version@0.4.1	X									X		
rustls@0.23.35	X							X		X		
rustls-pki-types@1.13.0	X									X		
rustls-webpki@0.103.8								X				
rustversion@1.0.22	X									X		
ryu@1.0.20	X				X							
semver@1.0.27	X									X		
seq-macro@0.3.6	X									X		
serde@1.0.228	X									X		
serde_core@1.0.228	X									X		
serde_derive@1.0.228	X									X		
serde_json@1.0.145	X									X		
serde_urlencoded@0.7.1	X									X		
sha1@0.10.6	X									X		
sha2@0.10.9	X									X		
shlex@1.3.0	X									X		
slab@0.4.11										X		
smallvec@1.15.1	X									X		
socket2@0.6.1	X									X		
stable_deref_trait@1.2.1	X									X		
static_assertions@1.1.0	X									X		
subtle@2.6.1				X								
syn@2.0.110	X									X		
sync_wrapper@1.0.2	X											
synstructure@0.13.2										X		
thrift@0.17.0	X											
tiny-keccak@2.0.2						X						
tinystr@0.8.2											X	
tokio@1.48.0										X		
tokio-macros@2.6.0										X		
tokio-rustls@0.26.4	X									X		
tokio-util@0.7.17										X		
tower@0.5.2										X		
tower-http@0.6.6										X		
tower-layer@0.3.3										X		
tower-service@0.3.3										X		
tracing@0.1.41										X		
tracing-core@0.1.34										X		
try-lock@0.2.5										X		
twox-hash@1.6.3										X		
typenum@1.19.0	X									X		
unicode-ident@1.0.22	X									X	X	
untrusted@0.9.0								X				
url@2.5.7	X									X		
utf8_iter@1.0.4	X									X		
uuid@1.18.1	X									X		
version_check@0.9.5	X									X		
want@0.3.1										X		
wasi@0.11.1+wasi-snapshot-preview1	X	X								X		
wasip2@1.0.1+wasi-0.2.4	X	X								X		
wasm-bindgen@0.2.105	X									X		
wasm-bindgen-futures@0.4.55	X									X		
wasm-bindgen-macro@0.2.105	X									X		
wasm-bindgen-macro-support@0.2.105	X									X		
wasm-bindgen-shared@0.2.105	X									X		
wasm-streams@0.4.2	X									X		
web-sys@0.3.82	X									X		
webpki-roots@1.0.4							X					
windows-core@0.62.2	X									X		
windows-implement@0.60.2	X									X		
windows-interface@0.59.3	X									X		
windows-link@0.2.1	X									X		
windows-result@0.4.1	X									X		
windows-strings@0.5.1	X									X		
windows-sys@0.52.0	X									X		
windows-sys@0.60.2	X									X		
windows-sys@0.61.2	X									X		
windows-targets@0.52.6	X									X		
windows-targets@0.53.5	X									X		
windows_aarch64_gnullvm@0.52.6	X									X		
windows_aarch64_gnullvm@0.53.1	X									X		
windows_aarch64_msvc@0.52.6	X									X		
windows_aarch64_msvc@0.53.1	X									X		
windows_i686_gnu@0.52.6	X									X		
windows_i686_gnu@0.53.1	X									X		
windows_i686_gnullvm@0.52.6	X									X		
windows_i686_gnullvm@0.53.1	X									X		
windows_i686_msvc@0.52.6	X									X		
windows_i686_msvc@0.53.1	X									X		
windows_x86_64_gnu@0.52.6	X									X		
windows_x86_64_gnu@0.53.1	X									X		
windows_x86_64_gnullvm@0.52.6	X									X		
windows_x86_64_gnullvm@0.53.1	X									X		
windows_x86_64_msvc@0.52.6	X									X		
windows_x86_64_msvc@0.53.1	X									X		
wit-bindgen@0.46.0	X	X								X		
writeable@0.6.2											X	
yoke@0.8.1											X	
yoke-derive@0.8.1											X	
zerocopy@0.8.28	X		X							X		
zerocopy-derive@0.8.28	X		X							X		
zerofrom@0.1.6											X	
zerofrom-derive@0.1.6											X	
zeroize@1.8.2	X									X		
zerotrie@0.2.3											X	
zerovec@0.11.5											X	
zerovec-derive@0.11.2											X	
