crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	Unicode-3.0	Unlicense
opendal-service-oss@0.56.0	X												
opendal-service-s3@0.56.0	X												
opendal-service-webdav@0.56.0	X												
opendal-service-webhdfs@0.56.0	X												
openssl-probe@0.2.1	X									X			
ordered-multimap@0.7.3										X			
parking_lot@0.12.5	X									X			
parking_lot_core@0.9.12	X									X			
pbkdf2@0.12.2	X									X			
pem@3.0.6										X			
pem-rfc7468@0.7.0	X									X			
percent-encoding@2.3.2	X									X			
pin-project-lite@0.2.17	X									X			
pkcs1@0.7.5	X									X			
pkcs5@0.7.1	X									X			
pkcs8@0.10.2	X									X			
portable-atomic@1.13.1	X									X			
portable-atomic-util@0.2.6	X									X			
potential_utf@0.1.5												X	
powerfmt@0.2.0	X									X			
ppv-lite86@0.2.21	X									X			
proc-macro2@1.0.106	X									X			
prost@0.13.5	X												
prost-derive@0.13.5	X												
quick-xml@0.38.4										X			
quick-xml@0.39.2										X			
quote@1.0.45	X									X			
r-efi@5.3.0	X								X	X			
r-efi@6.0.0	X								X	X			
rand@0.8.5	X									X			
rand_chacha@0.3.1	X									X			
rand_core@0.6.4	X									X			
redox_syscall@0.5.18										X			
reqsign-aliyun-oss@3.0.0	X												
reqsign-aws-v4@3.0.0	X												
reqsign-azure-storage@3.0.0	X												
reqsign-core@3.0.0	X												
reqsign-file-read-tokio@3.0.0	X												
reqsign-google@3.0.0	X												
reqsign-huaweicloud-obs@3.0.0	X												
reqsign-tencent-cos@3.0.0	X												
reqwest@0.13.2	X									X			
rsa@0.9.10	X									X			
rust-ini@0.21.3										X			
rustc_version@0.4.1	X									X			
rustix@1.1.4	X	X								X			
rustls@0.23.38	X							X		X			
rustls-native-certs@0.8.3	X							X		X			
rustls-pki-types@1.14.0	X									X			
rustls-platform-verifier@0.6.2	X									X			
rustls-platform-verifier-android@0.1.1	X									X			
rustls-webpki@0.103.12								X					
rustversion@1.0.22	X									X			
ryu@1.0.23	X				X								
salsa20@0.10.2	X									X			
same-file@1.0.6										X			X
schannel@0.1.29										X			
scopeguard@1.2.0	X									X			
scrypt@0.11.0	X									X			
security-framework@3.7.0	X									X			
security-framework-sys@2.17.0	X									X			
semver@1.0.28	X									X			
serde@1.0.228	X									X			
serde_core@1.0.228	X									X			
serde_derive@1.0.228	X									X			
serde_json@1.0.149	X									X			
serde_urlencoded@0.7.1	X									X			
sha1@0.10.6	X									X			
sha2@0.10.9	X									X			
shlex@1.3.0	X									X			
signal-hook-registry@1.4.8	X									X			
signature@2.2.0	X									X			
simple_asn1@0.6.4								X					
slab@0.4.12										X			
smallvec@1.15.1	X									X			
socket2@0.6.3	X									X			
spin@0.9.8										X			
spki@0.7.3	X									X			
stable_deref_trait@1.2.1	X									X			
subtle@2.6.1				X									
syn@2.0.117	X									X			
sync_wrapper@1.0.2	X												
synstructure@0.13.2										X			
thiserror@1.0.69	X									X			
thiserror@2.0.18	X									X			
thiserror-impl@1.0.69	X									X			
thiserror-impl@2.0.18	X									X			
time@0.3.47	X									X			
time-core@0.1.8	X									X			
time-macros@0.2.27	X									X			
tiny-keccak@2.0.2						X							
tinystr@0.8.3												X	
tokio@1.52.0										X			
tokio-macros@2.7.0										X			
tokio-rustls@0.26.4	X									X			
tokio-util@0.7.18										X			
tower@0.5.3										X			
tower-http@0.6.8										X			
tower-layer@0.3.3										X			
tower-service@0.3.3										X			
tracing@0.1.44										X			
tracing-core@0.1.36										X			
try-lock@0.2.5										X			
typenum@1.19.0	X									X			
unicode-ident@1.0.24	X									X		X	
untrusted@0.7.1								X					
untrusted@0.9.0								X					
url@2.5.8	X									X			
utf8_iter@1.0.4	X									X			
uuid@1.23.1	X									X			
version_check@0.9.5	X									X			
walkdir@2.5.0										X			X
want@0.3.1										X			
wasi@0.11.1+wasi-snapshot-preview1	X	X								X			
wasip2@1.0.1+wasi-0.2.4	X	X								X			
wasip3@0.4.0+wasi-0.3.0-rc-2026-01-06	X	X								X			
wasm-bindgen@0.2.118	X									X			
wasm-bindgen-futures@0.4.68	X									X			
wasm-bindgen-macro@0.2.118	X									X			
wasm-bindgen-macro-support@0.2.118	X									X			
wasm-bindgen-shared@0.2.118	X									X			
wasm-streams@0.5.0	X									X			
web-sys@0.3.95	X									X			
web-time@1.1.0	X									X			
webpki-root-certs@1.0.6							X						
winapi-util@0.1.11										X			X
windows-link@0.2.1	X									X			
windows-sys@0.45.0	X									X			
windows-sys@0.61.2	X									X			
windows-targets@0.42.2	X									X			
windows_aarch64_gnullvm@0.42.2	X									X			
windows_aarch64_msvc@0.42.2	X									X			
windows_i686_gnu@0.42.2	X									X			
windows_i686_msvc@0.42.2	X									X			
windows_x86_64_gnu@0.42.2	X									X			
windows_x86_64_gnullvm@0.42.2	X									X			
windows_x86_64_msvc@0.42.2	X									X			
wit-bindgen@0.46.0	X	X								X			
wit-bindgen@0.51.0	X	X								X			
writeable@0.6.3												X	
xattr@1.6.1	X									X			
yoke@0.8.2												X	
yoke-derive@0.8.2												X	
zerocopy@0.8.48	X		X							X			
zerofrom@0.1.7												X	
zerofrom-derive@0.1.7												X	
zeroize@1.8.2	X									X			
zerotrie@0.2.4												X	
zerovec@0.11.6												X	
zerovec-derive@0.11.3												X	
zmij@1.0.21										X			
