crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	Unicode-3.0	Unlicense
rustix@1.1.4	X	X								X			
rustls@0.23.42	X							X		X			
rustls-native-certs@0.8.4	X							X		X			
rustls-pki-types@1.15.0	X									X			
rustls-platform-verifier@0.7.0	X									X			
rustls-platform-verifier-android@0.1.1	X									X			
rustls-webpki@0.103.13								X					
rustversion@1.0.23	X									X			
ryu@1.0.23	X				X								
salsa20@0.10.2	X									X			
same-file@1.0.6										X			X
schannel@0.1.29										X			
scrypt@0.11.0	X									X			
security-framework@3.7.0	X									X			
security-framework-sys@2.17.0	X									X			
semver@1.0.28	X									X			
serde@1.0.229	X									X			
serde_core@1.0.229	X									X			
serde_derive@1.0.229	X									X			
serde_json@1.0.151	X									X			
serde_urlencoded@0.7.1	X									X			
sha1@0.11.0	X									X			
sha2@0.10.9	X									X			
sha2@0.11.0	X									X			
shlex@2.0.1	X									X			
signature@2.2.0	X									X			
simd_cesu8@1.2.0	X									X			
simdutf8@0.1.5	X									X			
slab@0.4.12										X			
smallvec@1.15.2	X									X			
socket2@0.6.5	X									X			
spin@0.10.1										X			
spin@0.9.9										X			
spki@0.7.3	X									X			
stable_deref_trait@1.2.1	X									X			
subtle@2.6.1				X									
syn@2.0.119	X									X			
syn@3.0.3	X									X			
sync_wrapper@1.0.2	X												
synstructure@0.13.2										X			
target-lexicon@0.13.5		X											
thiserror@2.0.19	X									X			
thiserror-impl@2.0.19	X									X			
tiny-keccak@2.0.2						X							
tinystr@0.8.3												X	
tokio@1.53.1										X			
tokio-macros@2.7.1										X			
tokio-rustls@0.26.4	X									X			
tokio-util@0.7.19										X			
tower@0.5.3										X			
tower-http@0.6.11										X			
tower-layer@0.3.3										X			
tower-service@0.3.3										X			
tracing@0.1.44										X			
tracing-core@0.1.36										X			
try-lock@0.2.5										X			
typenum@1.20.1	X									X			
unicase@2.9.0	X									X			
unicode-ident@1.0.24	X									X		X	
untrusted@0.9.0								X					
url@2.5.8	X									X			
utf8_iter@1.0.4	X									X			
uuid@1.24.0	X									X			
version_check@0.9.5	X									X			
walkdir@2.5.0										X			X
want@0.3.1										X			
wasi@0.11.1+wasi-snapshot-preview1	X	X								X			
wasm-bindgen@0.2.126	X									X			
wasm-bindgen-futures@0.4.76	X									X			
wasm-bindgen-macro@0.2.126	X									X			
wasm-bindgen-macro-support@0.2.126	X									X			
wasm-bindgen-shared@0.2.126	X									X			
wasm-streams@0.5.0	X									X			
web-sys@0.3.103	X									X			
web-time@1.1.0	X									X			
webpki-root-certs@1.0.9							X						
winapi-util@0.1.11										X			X
windows-link@0.2.1	X									X			
windows-sys@0.61.2	X									X			
writeable@0.6.3												X	
xattr@1.6.1	X									X			
yoke@0.8.3												X	
yoke-derive@0.8.2												X	
zerocopy@0.8.55	X		X							X			
zerofrom@0.1.8												X	
zerofrom-derive@0.1.7												X	
zeroize@1.9.0	X									X			
zerotrie@0.2.4												X	
zerovec@0.11.6												X	
zerovec-derive@0.11.3												X	
zmij@1.0.23										X			
