crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
hex@0.4.3		X									X			
hmac@0.12.1		X									X			
home@0.5.11		X									X			
http@1.3.1		X									X			
http-body@1.0.1											X			
http-body-util@0.1.3											X			
httparse@1.10.1		X									X			
hyper@1.8.1											X			
hyper-rustls@0.27.7		X							X		X			
hyper-util@0.1.18											X			
iana-time-zone@0.1.64		X									X			
iana-time-zone-haiku@0.1.2		X									X			
icu_collections@2.1.1												X		
icu_locale_core@2.1.1												X		
icu_normalizer@2.1.1												X		
icu_normalizer_data@2.1.1												X		
icu_properties@2.1.1												X		
icu_properties_data@2.1.1												X		
icu_provider@2.1.1												X		
ident_case@1.0.1		X									X			
idna@1.1.0		X									X			
idna_adapter@1.2.1		X									X			
inout@0.1.4		X									X			
ipnet@2.11.0		X									X			
iri-string@0.7.9		X									X			
itertools@0.14.0		X									X			
itoa@1.0.15		X									X			
jiff@0.2.16											X		X	
jiff-tzdb@0.1.4											X		X	
jiff-tzdb-platform@0.1.3											X		X	
jobserver@0.1.34		X									X			
js-sys@0.3.82		X									X			
jsonwebtoken@9.3.1											X			
lazy_static@1.5.0		X									X			
lazycell@1.3.0		X									X			
libc@0.2.177		X									X			
libloading@0.8.9									X					
libm@0.2.15											X			
linux-raw-sys@0.11.0		X	X								X			
linux-raw-sys@0.4.15		X	X								X			
litemap@0.8.1												X		
lock_api@0.4.14		X									X			
log@0.4.28		X									X			
md-5@0.10.6		X									X			
memchr@2.7.6											X		X	
minimal-lexical@0.2.1		X									X			
miniz_oxide@0.8.9		X									X			X
mio@1.1.0											X			
native-tls@0.2.14		X									X			
nom@7.1.3											X			
num-bigint@0.4.6		X									X			
num-bigint-dig@0.8.6		X									X			
num-conv@0.1.0		X									X			
num-integer@0.1.46		X									X			
num-iter@0.1.45		X									X			
num-traits@0.2.19		X									X			
once_cell@1.21.3		X									X			
opendal@0.55.0		X												
opendal-php@0.0.0		X												
openssl@0.10.75		X												
openssl-macros@0.1.1		X									X			
openssl-probe@0.1.6		X									X			
openssl-sys@0.9.111											X			
ordered-multimap@0.7.3											X			
parking_lot@0.12.5		X									X			
parking_lot_core@0.9.12		X									X			
password-hash@0.4.2		X									X			
pbkdf2@0.11.0		X									X			
pbkdf2@0.12.2		X									X			
peeking_take_while@0.1.2		X									X			
pem@3.0.6											X			
pem-rfc7468@0.7.0		X									X			
percent-encoding@2.3.2		X									X			
pin-project-lite@0.2.16		X									X			
pin-utils@0.1.0		X									X			
pkcs1@0.7.5		X									X			
pkcs5@0.7.1		X									X			
pkcs8@0.10.2		X									X			
pkg-config@0.3.32		X									X			
portable-atomic@1.11.1		X									X			
portable-atomic-util@0.2.4		X									X			
potential_utf@0.1.4												X		
powerfmt@0.2.0		X									X			
ppv-lite86@0.2.21		X									X			
prettyplease@0.2.37		X									X			
proc-macro2@1.0.103		X									X			
prost@0.13.5		X												
prost-derive@0.13.5		X												
pulldown-cmark@0.9.6											X			
quick-xml@0.38.4											X			
quote@1.0.42		X									X			
r-efi@5.3.0		X								X	X			
rand@0.8.5		X									X			
rand_chacha@0.3.1		X									X			
rand_core@0.6.4		X									X			
redox_syscall@0.5.18											X			
regex@1.12.2		X									X			
regex-automata@0.4.13		X									X			
regex-syntax@0.8.8		X									X			
reqsign@0.16.5		X												
reqsign-aws-v4@2.0.1		X												
reqsign-core@2.0.1		X												
reqsign-file-read-tokio@2.0.1		X												
reqsign-http-send-reqwest@2.0.1		X												
reqwest@0.12.24		X									X			
ring@0.17.14		X							X					
rsa@0.9.9		X									X			
rust-ini@0.21.3											X			
rustc-hash@1.1.0		X									X			
rustc_version@0.4.1		X									X			
rustix@0.38.44		X	X								X			
rustix@1.1.2		X	X								X			
rustls@0.23.35		X							X		X			
rustls-pki-types@1.13.0		X									X			
rustls-webpki@0.103.8									X					
rustversion@1.0.22		X									X			
ryu@1.0.20		X				X								
salsa20@0.10.2		X									X			
same-file@1.0.6											X		X	
schannel@0.1.28											X			
scopeguard@1.2.0		X									X			
scrypt@0.11.0		X									X			
security-framework@2.11.1		X									X			
security-framework-sys@2.15.0		X									X			
semver@1.0.27		X									X			
serde@1.0.228		X									X			
serde_core@1.0.228		X									X			
serde_derive@1.0.228		X									X			
serde_json@1.0.145		X									X			
serde_urlencoded@0.7.1		X									X			
sha1@0.10.6		X									X			
sha2@0.10.9		X									X			
shlex@1.3.0		X									X			
signal-hook-registry@1.4.6		X									X			
signature@2.2.0		X									X			
simd-adler32@0.3.7											X			
simple_asn1@0.6.3									X					
skeptic@0.13.7		X									X			
slab@0.4.11											X			
smallvec@1.15.1		X									X			
socket2@0.6.1		X									X			
spin@0.9.8											X			
spki@0.7.3		X									X			
stable_deref_trait@1.2.1		X									X			
strsim@0.10.0											X			
subtle@2.6.1					X									
syn@1.0.109		X									X			
syn@2.0.110		X									X			
sync_wrapper@1.0.2		X												
synstructure@0.13.2											X			
tempfile@3.23.0		X									X			
thiserror@2.0.17		X									X			
thiserror-impl@2.0.17		X									X			
time@0.3.44		X									X			
time-core@0.1.6		X									X			
time-macros@0.2.24		X									X			
tiny-keccak@2.0.2							X							
tinystr@0.8.2												X		
tokio@1.48.0											X			
tokio-macros@2.6.0											X			
tokio-rustls@0.26.4		X									X			
tokio-util@0.7.17											X			
tower@0.5.2											X			
tower-http@0.6.6											X			
tower-layer@0.3.3											X			
tower-service@0.3.3											X			
tracing@0.1.41											X			
tracing-core@0.1.34											X			
try-lock@0.2.5											X			
typenum@1.19.0		X									X			
unicase@2.8.1		X									X			
unicode-ident@1.0.22		X									X	X		
untrusted@0.9.0									X					
ureq@2.12.1		X									X			
url@2.5.7		X									X			
utf8_iter@1.0.4		X									X			
uuid@1.18.1		X									X			
vcpkg@0.2.15		X									X			
version_check@0.9.5		X									X			
walkdir@2.5.0											X		X	
want@0.3.1											X			
wasi@0.11.1+wasi-snapshot-preview1		X	X								X			
wasip2@1.0.1+wasi-0.2.4		X	X								X			
wasm-bindgen@0.2.105		X									X			
wasm-bindgen-futures@0.4.55		X									X			
wasm-bindgen-macro@0.2.105		X									X			
wasm-bindgen-macro-support@0.2.105		X									X			
wasm-bindgen-shared@0.2.105		X									X			
wasm-streams@0.4.2		X									X			
web-sys@0.3.82		X									X			
webpki-roots@1.0.4								X						
which@4.4.2											X			
winapi-util@0.1.11											X		X	
windows-core@0.62.2		X									X			
windows-implement@0.60.2		X									X			
windows-interface@0.59.3		X									X			
windows-link@0.2.1		X									X			
windows-result@0.4.1		X									X			
windows-strings@0.5.1		X									X			
windows-sys@0.52.0		X									X			
windows-sys@0.59.0		X									X			
windows-sys@0.60.2		X									X			
windows-sys@0.61.2		X									X			
windows-targets@0.52.6		X									X			
windows-targets@0.53.5		X									X			
windows_aarch64_gnullvm@0.52.6		X									X			
windows_aarch64_gnullvm@0.53.1		X									X			
windows_aarch64_msvc@0.52.6		X									X			
windows_aarch64_msvc@0.53.1		X									X			
windows_i686_gnu@0.52.6		X									X			
windows_i686_gnu@0.53.1		X									X			
windows_i686_gnullvm@0.52.6		X									X			
windows_i686_gnullvm@0.53.1		X									X			
windows_i686_msvc@0.52.6		X									X			
windows_i686_msvc@0.53.1		X									X			
windows_x86_64_gnu@0.52.6		X									X			
windows_x86_64_gnu@0.53.1		X									X			
windows_x86_64_gnullvm@0.52.6		X									X			
windows_x86_64_gnullvm@0.53.1		X									X			
windows_x86_64_msvc@0.52.6		X									X			
windows_x86_64_msvc@0.53.1		X									X			
wit-bindgen@0.46.0		X	X								X			
writeable@0.6.2												X		
yoke@0.8.1												X		
yoke-derive@0.8.1												X		
zerocopy@0.8.28		X		X							X			
zerofrom@0.1.6												X		
zerofrom-derive@0.1.6												X		
zeroize@1.8.2		X									X			
zerotrie@0.2.3												X		
zerovec@0.11.5												X		
zerovec-derive@0.11.2												X		
zip@0.6.6											X			
zstd@0.11.2+zstd.1.5.2											X			
zstd-safe@5.0.2+zstd.1.5.2		X									X			
zstd-sys@2.0.16+zstd.1.5.7		X									X			
