crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	MPL-2.0	Unicode-3.0	Unlicense	Zlib
jni@0.21.1	X									X					
jni-sys@0.3.1	X									X					
jni-sys@0.4.1	X									X					
jni-sys-macros@0.4.1	X									X					
jobserver@0.1.34	X									X					
js-sys@0.3.95	X									X					
jsonwebtoken@10.3.0										X					
konst@0.4.3															X
konst_proc_macros@0.4.1															X
lazy_static@1.5.0	X									X					
libc@0.2.185	X									X					
libm@0.2.16										X					
libredox@0.1.16										X					
libsqlite3-sys@0.30.1										X					
linked-hash-map@0.5.6	X									X					
linux-raw-sys@0.12.1	X	X								X					
litemap@0.8.2													X		
lock_api@0.4.14	X									X					
log@0.4.29	X									X					
lz4_flex@0.13.0										X					
macro_magic@0.5.1										X					
macro_magic_core@0.5.1										X					
macro_magic_core_macros@0.5.1										X					
macro_magic_macros@0.5.1										X					
matchers@0.2.0										X					
matchit@0.7.3				X						X					
matchit@0.8.4				X						X					
md-5@0.10.6	X									X					
mea@0.6.3	X														
memchr@2.8.0										X				X	
memmap2@0.5.10	X									X					
miette@5.10.0	X														
miette-derive@5.10.0	X														
mime@0.3.17	X									X					
mini-moka@0.10.3	X									X					
mio@1.2.0										X					
moka@0.12.15	X									X					
mongodb@3.5.2	X														
mongodb-internal-macros@3.5.2	X														
more-asserts@0.3.1	X					X				X				X	
multimap@0.10.1	X									X					
ntapi@0.4.3	X									X					
nu-ansi-term@0.50.3										X					
num-bigint@0.4.6	X									X					
num-bigint-dig@0.8.6	X									X					
num-conv@0.2.1	X									X					
num-derive@0.4.2	X									X					
num-integer@0.1.46	X									X					
num-iter@0.1.45	X									X					
num-traits@0.2.19	X									X					
objc2-core-foundation@0.3.2	X									X					X
objc2-io-kit@0.3.2	X									X					X
objc2-system-configuration@0.3.2	X									X					X
once_cell@1.21.4	X									X					
once_cell_polyfill@1.70.2	X									X					
oneshot@0.1.13	X									X					
opendal@0.56.0	X														
opendal-core@0.56.0	X														
opendal-java@0.0.0	X														
opendal-layer-concurrent-limit@0.56.0	X														
opendal-layer-logging@0.56.0	X														
opendal-layer-retry@0.56.0	X														
opendal-layer-timeout@0.56.0	X														
opendal-service-aliyun-drive@0.56.0	X														
opendal-service-alluxio@0.56.0	X														
opendal-service-azblob@0.56.0	X														
opendal-service-azdls@0.56.0	X														
opendal-service-azfile@0.56.0	X														
opendal-service-azure-common@0.56.0	X														
opendal-service-b2@0.56.0	X														
opendal-service-cacache@0.56.0	X														
opendal-service-cos@0.56.0	X														
opendal-service-dashmap@0.56.0	X														
opendal-service-dropbox@0.56.0	X														
opendal-service-etcd@0.56.0	X														
opendal-service-fs@0.56.0	X														
opendal-service-gcs@0.56.0	X														
opendal-service-gdrive@0.56.0	X														
opendal-service-ghac@0.56.0	X														
opendal-service-gridfs@0.56.0	X														
opendal-service-hf@0.56.0	X														
opendal-service-http@0.56.0	X														
opendal-service-ipfs@0.56.0	X														
opendal-service-ipmfs@0.56.0	X														
opendal-service-koofr@0.56.0	X														
opendal-service-memcached@0.56.0	X														
opendal-service-mini-moka@0.56.0	X														
opendal-service-moka@0.56.0	X														
opendal-service-mongodb@0.56.0	X														
opendal-service-mysql@0.56.0	X														
opendal-service-obs@0.56.0	X														
opendal-service-onedrive@0.56.0	X														
opendal-service-oss@0.56.0	X														
opendal-service-persy@0.56.0	X														
opendal-service-postgresql@0.56.0	X														
opendal-service-redb@0.56.0	X														
opendal-service-redis@0.56.0	X														
opendal-service-s3@0.56.0	X														
opendal-service-seafile@0.56.0	X														
opendal-service-sftp@0.56.0	X														
opendal-service-sled@0.56.0	X														
opendal-service-sqlite@0.56.0	X														
opendal-service-swift@0.56.0	X														
opendal-service-tikv@0.56.0	X														
opendal-service-upyun@0.56.0	X														
opendal-service-vercel-artifacts@0.56.0	X														
opendal-service-webdav@0.56.0	X														
opendal-service-webhdfs@0.56.0	X														
opendal-service-yandex-disk@0.56.0	X														
openssh@0.11.6	X									X					
openssh-sftp-client@0.15.6										X					
openssh-sftp-client-lowlevel@0.7.2										X					
openssh-sftp-error@0.5.1										X					
openssh-sftp-protocol@0.24.1										X					
openssh-sftp-protocol-error@0.1.1										X					
openssl-probe@0.2.1	X									X					
option-ext@0.2.0												X			
ordered-multimap@0.7.3										X					
os_str_bytes@6.6.1	X									X					
parking@2.2.1	X									X					
parking_lot@0.11.2	X									X					
parking_lot@0.12.5	X									X					
parking_lot_core@0.8.6	X									X					
parking_lot_core@0.9.12	X									X					
pbkdf2@0.12.2	X									X					
pem@3.0.6										X					
pem-rfc7468@0.7.0	X									X					
percent-encoding@2.3.2	X									X					
persy@1.7.1												X			
petgraph@0.8.3	X									X					
pin-project@1.1.11	X									X					
pin-project-internal@1.1.11	X									X					
pin-project-lite@0.2.17	X									X					
pin-utils@0.1.0	X									X					
pkcs1@0.7.5	X									X					
pkcs5@0.7.1	X									X					
pkcs8@0.10.2	X									X					
pkg-config@0.3.33	X									X					
plain@0.2.3	X									X					
portable-atomic@1.13.1	X									X					
portable-atomic-util@0.2.6	X									X					
potential_utf@0.1.5													X		
powerfmt@0.2.0	X									X					
ppv-lite86@0.2.21	X									X					
prettyplease@0.2.37	X									X					
proc-macro2@1.0.106	X									X					
prometheus@0.13.4	X														
prost@0.12.6	X														
prost@0.13.5	X														
prost@0.14.3	X														
prost-build@0.14.3	X														
prost-derive@0.12.6	X														
prost-derive@0.13.5	X														
prost-derive@0.14.3	X														
prost-types@0.14.3	X														
pulldown-cmark@0.13.3										X					
pulldown-cmark@0.9.6										X					
pulldown-cmark-to-cmark@22.0.0	X														
quick-xml@0.38.4										X					
quick-xml@0.39.2										X					
quote@1.0.45	X									X					
r-efi@5.3.0	X								X	X					
r-efi@6.0.0	X								X	X					
radium@0.7.0										X					
rand@0.10.1	X									X					
rand@0.7.3	X									X					
rand@0.8.5	X									X					
rand@0.9.4	X									X					
rand_chacha@0.2.2	X									X					
rand_chacha@0.3.1	X									X					
rand_chacha@0.9.0	X									X					
rand_core@0.10.1	X									X					
rand_core@0.5.1	X									X					
rand_core@0.6.4	X									X					
rand_core@0.9.5	X									X					
rand_hc@0.2.0	X									X					
redb@2.6.3	X									X					
redb@3.1.3	X									X					
redis@1.2.0				X											
redox_syscall@0.2.16										X					
redox_syscall@0.5.18										X					
redox_users@0.5.2										X					
reflink-copy@0.1.29	X									X					
regex@1.12.3	X									X					
regex-automata@0.4.14	X									X					
regex-syntax@0.8.10	X									X					
reqsign-aliyun-oss@3.0.0	X														
reqsign-aws-v4@3.0.0	X														
reqsign-azure-storage@3.0.0	X														
reqsign-core@3.0.0	X														
reqsign-file-read-tokio@3.0.0	X														
reqsign-google@3.0.0	X														
reqsign-huaweicloud-obs@3.0.0	X														
reqsign-tencent-cos@3.0.0	X														
reqwest@0.13.2	X									X					
reqwest-middleware@0.5.1	X									X					
reqwest-retry@0.9.1	X									X					
resolv-conf@0.7.6	X									X					
retry-policies@0.5.1	X									X					
ring@0.17.14	X							X							
rsa@0.9.10	X									X					
rust-ini@0.21.3										X					
rustc_version@0.4.1	X									X					
rustc_version_runtime@0.3.0										X					
rustix@1.1.4	X	X								X					
rustls@0.21.12	X							X		X					
rustls@0.23.38	X							X		X					
rustls-native-certs@0.8.3	X							X		X					
rustls-pemfile@1.0.4	X							X		X					
rustls-pki-types@1.14.0	X									X					
rustls-platform-verifier@0.6.2	X									X					
rustls-platform-verifier-android@0.1.1	X									X					
rustls-webpki@0.101.7								X							
rustls-webpki@0.103.12								X							
rustversion@1.0.22	X									X					
ryu@1.0.23	X				X										
safe-transmute@0.11.3										X					
salsa20@0.10.2	X									X					
same-file@1.0.6										X				X	
schannel@0.1.29										X					
scopeguard@1.2.0	X									X					
scrypt@0.11.0	X									X					
sct@0.7.1	X							X		X					
security-framework@3.7.0	X									X					
security-framework-sys@2.17.0	X									X					
semver@1.0.28	X									X					
serde@1.0.228	X									X					
serde_bytes@0.11.19	X									X					
serde_core@1.0.228	X									X					
serde_derive@1.0.228	X									X					
serde_json@1.0.149	X									X					
serde_repr@0.1.20	X									X					
serde_urlencoded@0.7.1	X									X					
serde_with@3.17.0	X									X					
serde_with_macros@3.17.0	X									X					
sha-1@0.10.1	X									X					
sha1@0.10.6	X									X					
sha1_smol@1.0.1				X											
sha2@0.10.9	X									X					
sha2-asm@0.6.4										X					
sharded-slab@0.1.7										X					
shell-escape@0.1.5	X									X					
shellexpand@3.1.2	X									X					
shlex@1.3.0	X									X					
signal-hook-registry@1.4.8	X									X					
signature@2.2.0	X									X					
simple_asn1@0.6.4								X							
skeptic@0.13.7	X									X					
slab@0.4.12										X					
sled@0.34.7	X									X					
smallvec@1.15.1	X									X					
socket2@0.5.10	X									X					
socket2@0.6.3	X									X					
spin@0.9.8										X					
spki@0.7.3	X									X					
sqlx@0.8.6	X									X					
sqlx-core@0.8.6	X									X					
sqlx-macros@0.8.6	X									X					
sqlx-macros-core@0.8.6	X									X					
sqlx-mysql@0.8.6	X									X					
sqlx-postgres@0.8.6	X									X					
sqlx-sqlite@0.8.6	X									X					
ssh_format@0.14.1										X					
ssh_format_error@0.1.0										X					
ssri@9.2.0	X														
stable_deref_trait@1.2.1	X									X					
static_assertions@1.1.0	X									X					
statrs@0.18.0										X					
stringprep@0.1.5	X									X					
strsim@0.11.1										X					
subtle@2.6.1				X											
syn@1.0.109	X									X					
syn@2.0.117	X									X					
sync_wrapper@0.1.2	X														
sync_wrapper@1.0.2	X														
synstructure@0.13.2										X					
sysinfo@0.38.4										X					
system-configuration@0.7.0	X									X					
system-configuration-sys@0.6.0	X									X					
tagptr@0.2.0	X									X					
take_mut@0.2.2										X					
tap@1.0.1										X					
tempfile@3.27.0	X									X					
thin-vec@0.2.16	X									X					
thiserror@1.0.69	X									X					
thiserror@2.0.18	X									X					
thiserror-impl@1.0.69	X									X					
thiserror-impl@2.0.18	X									X					
thread_local@1.1.9	X									X					
tikv-client@0.3.0	X														
time@0.3.47	X									X					
time-core@0.1.8	X									X					
time-macros@0.2.27	X									X					
tiny-keccak@2.0.2						X									
tinystr@0.8.3													X		
tinyvec@1.11.0	X									X					X
tinyvec_macros@0.1.1	X									X					X
tokio@1.52.0										X					
tokio-io-timeout@1.2.1	X									X					
tokio-io-utility@0.7.6										X					
tokio-macros@2.7.0										X					
tokio-retry@0.3.1										X					
tokio-rustls@0.24.1	X									X					
tokio-rustls@0.26.4	X									X					
tokio-stream@0.1.18										X					
tokio-util@0.7.18										X					
tonic@0.10.2										X					
tonic@0.14.5										X					
tonic-build@0.14.5										X					
tonic-prost@0.14.5										X					
tonic-prost-build@0.14.5										X					
tower@0.4.13										X					
tower@0.5.3										X					
tower-http@0.6.8										X					
tower-layer@0.3.3										X					
tower-service@0.3.3										X					
tracing@0.1.44										X					
tracing-appender@0.2.4										X					
tracing-attributes@0.1.31										X					
tracing-core@0.1.36										X					
tracing-log@0.2.0										X					
tracing-serde@0.2.0										X					
tracing-subscriber@0.3.23										X					
triomphe@0.1.15	X									X					
try-lock@0.2.5										X					
twox-hash@2.1.2										X					
typed-builder@0.22.0	X									X					
typed-builder-macro@0.22.0	X									X					
typenum@1.19.0	X									X					
typewit@1.15.2															X
ulid@1.2.1										X					
unicase@2.9.0	X									X					
unicode-bidi@0.3.18	X									X					
unicode-ident@1.0.24	X									X			X		
unicode-normalization@0.1.25	X									X					
unicode-properties@0.1.4	X									X					
unicode-segmentation@1.13.2	X									X					
unicode-width@0.1.14	X									X					
unicode-xid@0.2.6	X									X					
unsigned-varint@0.8.0										X					
untrusted@0.7.1								X							
untrusted@0.9.0								X							
url@2.5.8	X									X					
urlencoding@2.1.3										X					
utf8_iter@1.0.4	X									X					
utf8parse@0.2.2	X									X					
uuid@1.23.1	X									X					
vcpkg@0.2.15	X									X					
vec-strings@0.4.8										X					
version_check@0.9.5	X									X					
walkdir@2.5.0										X				X	
want@0.3.1										X					
wasi@0.11.1+wasi-snapshot-preview1	X	X								X					
wasi@0.14.7+wasi-0.2.4	X	X								X					
wasi@0.9.0+wasi-snapshot-preview1	X	X								X					
wasip2@1.0.1+wasi-0.2.4	X	X								X					
wasip3@0.4.0+wasi-0.3.0-rc-2026-01-06	X	X								X					
wasite@0.1.0	X				X					X					
wasite@1.0.2	X				X					X					
wasm-bindgen@0.2.118	X									X					
wasm-bindgen-futures@0.4.68	X									X					
wasm-bindgen-macro@0.2.118	X									X					
wasm-bindgen-macro-support@0.2.118	X									X					
wasm-bindgen-shared@0.2.118	X									X					
wasm-streams@0.5.0	X									X					
wasmtimer@0.4.3										X					
web-sys@0.3.95	X									X					
web-time@1.1.0	X									X					
webpki-root-certs@1.0.6							X								
webpki-roots@0.26.11							X								
webpki-roots@1.0.6							X								
whoami@1.6.1	X				X					X					
whoami@2.1.1	X				X					X					
widestring@1.2.1	X									X					
winapi@0.3.9	X									X					
winapi-i686-pc-windows-gnu@0.4.0	X									X					
winapi-util@0.1.11										X				X	
winapi-x86_64-pc-windows-gnu@0.4.0	X									X					
windows@0.62.2	X									X					
windows-collections@0.3.2	X									X					
windows-core@0.62.2	X									X					
windows-future@0.3.2	X									X					
windows-implement@0.60.2	X									X					
windows-interface@0.59.3	X									X					
windows-link@0.2.1	X									X					
windows-numerics@0.3.1	X									X					
windows-registry@0.6.1	X									X					
windows-result@0.4.1	X									X					
windows-strings@0.5.1	X									X					
windows-sys@0.45.0	X									X					
windows-sys@0.48.0	X									X					
windows-sys@0.52.0	X									X					
windows-sys@0.59.0	X									X					
windows-sys@0.61.2	X									X					
windows-targets@0.42.2	X									X					
windows-targets@0.48.5	X									X					
windows-targets@0.52.6	X									X					
windows-threading@0.2.1	X									X					
windows_aarch64_gnullvm@0.42.2	X									X					
windows_aarch64_gnullvm@0.48.5	X									X					
windows_aarch64_gnullvm@0.52.6	X									X					
windows_aarch64_msvc@0.42.2	X									X					
windows_aarch64_msvc@0.48.5	X									X					
windows_aarch64_msvc@0.52.6	X									X					
windows_i686_gnu@0.42.2	X									X					
windows_i686_gnu@0.48.5	X									X					
windows_i686_gnu@0.52.6	X									X					
windows_i686_gnullvm@0.52.6	X									X					
windows_i686_msvc@0.42.2	X									X					
windows_i686_msvc@0.48.5	X									X					
windows_i686_msvc@0.52.6	X									X					
windows_x86_64_gnu@0.42.2	X									X					
windows_x86_64_gnu@0.48.5	X									X					
windows_x86_64_gnu@0.52.6	X									X					
windows_x86_64_gnullvm@0.42.2	X									X					
windows_x86_64_gnullvm@0.48.5	X									X					
windows_x86_64_gnullvm@0.52.6	X									X					
windows_x86_64_msvc@0.42.2	X									X					
windows_x86_64_msvc@0.48.5	X									X					
windows_x86_64_msvc@0.52.6	X									X					
wit-bindgen@0.46.0	X	X								X					
wit-bindgen@0.51.0	X	X								X					
writeable@0.6.3													X		
wyz@0.5.1										X					
xattr@1.6.1	X									X					
xet-client@1.5.1	X														
xet-core-structures@1.5.1	X														
xet-data@1.5.1	X														
xet-runtime@1.5.1	X														
xxhash-rust@0.8.15					X										
yoke@0.8.2													X		
yoke-derive@0.8.2													X		
zerocopy@0.8.48	X		X							X					
zerofrom@0.1.7													X		
zerofrom-derive@0.1.7													X		
zeroize@1.8.2	X									X					
zerotrie@0.2.4													X		
zerovec@0.11.6													X		
zerovec-derive@0.11.3													X		
zigzag@0.1.0										X					
zmij@1.0.21										X					
