crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-3-Clause	BSL-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MPL-2.0	Unicode-3.0	Unlicense
icu_provider@2.1.1										X	
idna@1.1.0	X							X			
idna_adapter@1.2.1	X							X			
indexmap@2.12.1	X							X			
ipnet@2.11.0	X							X			
iri-string@0.7.9	X							X			
is_terminal_polyfill@1.70.2	X							X			
itoa@1.0.15	X							X			
jiff@0.2.16								X			X
jiff-tzdb@0.1.4								X			X
jiff-tzdb-platform@0.1.3								X			X
js-sys@0.3.82	X							X			
libc@0.2.177	X							X			
linux-raw-sys@0.11.0	X	X						X			
litemap@0.8.1										X	
log@0.4.28	X							X			
md-5@0.10.6	X							X			
memchr@2.7.6								X			X
mio@1.1.0								X			
once_cell@1.21.3	X							X			
once_cell_polyfill@1.70.2	X							X			
opendal@0.55.0	X										
opendal-c@0.0.0	X										
percent-encoding@2.3.2	X							X			
pin-project-lite@0.2.16	X							X			
pin-utils@0.1.0	X							X			
portable-atomic@1.11.1	X							X			
portable-atomic-util@0.2.4	X							X			
potential_utf@0.1.4										X	
proc-macro2@1.0.103	X							X			
quick-xml@0.38.4								X			
quote@1.0.42	X							X			
r-efi@5.3.0	X						X	X			
reqwest@0.12.24	X							X			
ring@0.17.14	X					X					
rustix@1.1.2	X	X						X			
rustls@0.23.35	X					X		X			
rustls-pki-types@1.13.0	X							X			
rustls-webpki@0.103.8						X					
rustversion@1.0.22	X							X			
ryu@1.0.20	X			X							
serde@1.0.228	X							X			
serde_core@1.0.228	X							X			
serde_derive@1.0.228	X							X			
serde_json@1.0.145	X							X			
serde_spanned@1.0.3	X							X			
serde_urlencoded@0.7.1	X							X			
shlex@1.3.0	X							X			
slab@0.4.11								X			
smallvec@1.15.1	X							X			
socket2@0.6.1	X							X			
stable_deref_trait@1.2.1	X							X			
strsim@0.11.1								X			
subtle@2.6.1			X								
syn@2.0.110	X							X			
sync_wrapper@1.0.2	X										
synstructure@0.13.2								X			
tempfile@3.23.0	X							X			
tinystr@0.8.2										X	
tokio@1.48.0								X			
tokio-macros@2.6.0								X			
tokio-rustls@0.26.4	X							X			
tokio-util@0.7.17								X			
toml@0.9.8	X							X			
toml_datetime@0.7.3	X							X			
toml_parser@1.0.4	X							X			
tower@0.5.2								X			
tower-http@0.6.6								X			
tower-layer@0.3.3								X			
tower-service@0.3.3								X			
tracing@0.1.41								X			
tracing-core@0.1.34								X			
try-lock@0.2.5								X			
typenum@1.19.0	X							X			
unicode-ident@1.0.22	X							X		X	
untrusted@0.9.0						X					
url@2.5.7	X							X			
utf8_iter@1.0.4	X							X			
utf8parse@0.2.2	X							X			
uuid@1.18.1	X							X			
version_check@0.9.5	X							X			
want@0.3.1								X			
wasi@0.11.1+wasi-snapshot-preview1	X	X						X			
wasip2@1.0.1+wasi-0.2.4	X	X						X			
wasm-bindgen@0.2.105	X							X			
wasm-bindgen-futures@0.4.55	X							X			
wasm-bindgen-macro@0.2.105	X							X			
wasm-bindgen-macro-support@0.2.105	X							X			
wasm-bindgen-shared@0.2.105	X							X			
wasm-streams@0.4.2	X							X			
web-sys@0.3.82	X							X			
webpki-roots@1.0.4					X						
windows-link@0.2.1	X							X			
windows-sys@0.52.0	X							X			
windows-sys@0.60.2	X							X			
windows-sys@0.61.2	X							X			
windows-targets@0.52.6	X							X			
windows-targets@0.53.5	X							X			
windows_aarch64_gnullvm@0.52.6	X							X			
windows_aarch64_gnullvm@0.53.1	X							X			
windows_aarch64_msvc@0.52.6	X							X			
windows_aarch64_msvc@0.53.1	X							X			
windows_i686_gnu@0.52.6	X							X			
windows_i686_gnu@0.53.1	X							X			
windows_i686_gnullvm@0.52.6	X							X			
windows_i686_gnullvm@0.53.1	X							X			
windows_i686_msvc@0.52.6	X							X			
windows_i686_msvc@0.53.1	X							X			
windows_x86_64_gnu@0.52.6	X							X			
windows_x86_64_gnu@0.53.1	X							X			
windows_x86_64_gnullvm@0.52.6	X							X			
windows_x86_64_gnullvm@0.53.1	X							X			
windows_x86_64_msvc@0.52.6	X							X			
windows_x86_64_msvc@0.53.1	X							X			
winnow@0.7.13								X			
wit-bindgen@0.46.0	X	X						X			
writeable@0.6.2										X	
yoke@0.8.1										X	
yoke-derive@0.8.1										X	
zerofrom@0.1.6										X	
zerofrom-derive@0.1.6										X	
zeroize@1.8.2	X							X			
zerotrie@0.2.3										X	
zerovec@0.11.5										X	
zerovec-derive@0.11.2										X	
