crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
tower-http@0.6.6										X		
tower-layer@0.3.3										X		
tower-service@0.3.3										X		
tracing@0.1.41										X		
tracing-attributes@0.1.30										X		
tracing-core@0.1.34										X		
try-lock@0.2.5										X		
typenum@1.19.0	X									X		
unicode-ident@1.0.22	X									X	X	
untrusted@0.9.0								X				
url@2.5.7	X									X		
utf8_iter@1.0.4	X									X		
uuid@1.18.1	X									X		
version_check@0.9.5	X									X		
walkdir@2.5.0										X		X
want@0.3.1										X		
wasi@0.11.1+wasi-snapshot-preview1	X	X								X		
wasip2@1.0.1+wasi-0.2.4	X	X								X		
wasm-bindgen@0.2.105	X									X		
wasm-bindgen-futures@0.4.55	X									X		
wasm-bindgen-macro@0.2.105	X									X		
wasm-bindgen-macro-support@0.2.105	X									X		
wasm-bindgen-shared@0.2.105	X									X		
wasm-streams@0.4.2	X									X		
web-sys@0.3.82	X									X		
web-time@1.1.0	X									X		
webpki-roots@1.0.4							X					
winapi-util@0.1.11										X		X
windows-core@0.62.2	X									X		
windows-implement@0.60.2	X									X		
windows-interface@0.59.3	X									X		
windows-link@0.2.1	X									X		
windows-result@0.4.1	X									X		
windows-strings@0.5.1	X									X		
windows-sys@0.52.0	X									X		
windows-sys@0.59.0	X									X		
windows-sys@0.60.2	X									X		
windows-sys@0.61.2	X									X		
windows-targets@0.52.6	X									X		
windows-targets@0.53.5	X									X		
windows_aarch64_gnullvm@0.52.6	X									X		
windows_aarch64_gnullvm@0.53.1	X									X		
windows_aarch64_msvc@0.52.6	X									X		
windows_aarch64_msvc@0.53.1	X									X		
windows_i686_gnu@0.52.6	X									X		
windows_i686_gnu@0.53.1	X									X		
windows_i686_gnullvm@0.52.6	X									X		
windows_i686_gnullvm@0.53.1	X									X		
windows_i686_msvc@0.52.6	X									X		
windows_i686_msvc@0.53.1	X									X		
windows_x86_64_gnu@0.52.6	X									X		
windows_x86_64_gnu@0.53.1	X									X		
windows_x86_64_gnullvm@0.52.6	X									X		
windows_x86_64_gnullvm@0.53.1	X									X		
windows_x86_64_msvc@0.52.6	X									X		
windows_x86_64_msvc@0.53.1	X									X		
wit-bindgen@0.46.0	X	X								X		
writeable@0.6.2											X	
yoke@0.8.1											X	
yoke-derive@0.8.1											X	
zerocopy@0.8.28	X		X							X		
zerocopy-derive@0.8.28	X		X							X		
zerofrom@0.1.6											X	
zerofrom-derive@0.1.6											X	
zeroize@1.8.2	X									X		
zerotrie@0.2.3											X	
zerovec@0.11.5											X	
zerovec-derive@0.11.2											X	
